Name,MIME Type / Internet Media Type,File Extension,More Details,More Details_link0
OpenDocument Image Template,application/vnd.oasis.opendocument.image-template,.oti,IANA: OpenDocument Image Template,http://www.iana.org/assignments/media-types/application/vnd.oasis.opendocument.image-template
OpenDocument Presentation,application/vnd.oasis.opendocument.presentation,.odp,IANA: OpenDocument Presentation,http://www.iana.org/assignments/media-types/application/vnd.oasis.opendocument.presentation
OpenDocument Presentation Template,application/vnd.oasis.opendocument.presentation-template,.otp,IANA: OpenDocument Presentation Template,http://www.iana.org/assignments/media-types/application/vnd.oasis.opendocument.presentation-template
OpenDocument Spreadsheet,application/vnd.oasis.opendocument.spreadsheet,.ods,IANA: OpenDocument Spreadsheet,http://www.iana.org/assignments/media-types/application/vnd.oasis.opendocument.spreadsheet
OpenDocument Spreadsheet Template,application/vnd.oasis.opendocument.spreadsheet-template,.ots,IANA: OpenDocument Spreadsheet Template,http://www.iana.org/assignments/media-types/application/vnd.oasis.opendocument.spreadsheet-template
OpenDocument Text,application/vnd.oasis.opendocument.text,.odt,IANA: OpenDocument Text,http://www.iana.org/assignments/media-types/application/vnd.oasis.opendocument.text
OpenDocument Text Master,application/vnd.oasis.opendocument.text-master,.odm,IANA: OpenDocument Text Master,http://www.iana.org/assignments/media-types/application/vnd.oasis.opendocument.text-master
OpenDocument Text Template,application/vnd.oasis.opendocument.text-template,.ott,IANA: OpenDocument Text Template,http://www.iana.org/assignments/media-types/application/vnd.oasis.opendocument.text-template
Open Document Text Web,application/vnd.oasis.opendocument.text-web,.oth,IANA: OpenDocument Text Web,http://www.iana.org/assignments/media-types/application/vnd.oasis.opendocument.text-web
Sugar Linux Application Bundle,application/vnd.olpc-sugar,.xo,IANA: Sugar Linux App Bundle,http://www.iana.org/assignments/media-types/application/vnd.olpc-sugar
OMA Download Agents,application/vnd.oma.dd2+xml,.dd2,IANA: OMA Download Agents,http://www.iana.org/assignments/media-types/application/vnd.oma.dd2+xml
Open Office Extension,application/vnd.openofficeorg.extension,.oxt,IANA: Open Office Extension,http://www.iana.org/assignments/media-types/application/vnd.openofficeorg.extension
Microsoft Office - OOXML - Presentation,application/vnd.openxmlformats-officedocument.presentationml.presentation,.pptx,IANA: OOXML - Presentation,http://www.iana.org/assignments/media-types/application/vnd.openxmlformats-officedocument.presentationml.presentation
Microsoft Office - OOXML - Presentation (Slide),application/vnd.openxmlformats-officedocument.presentationml.slide,.sldx,IANA: OOXML - Presentation,http://www.iana.org/assignments/media-types/application/vnd.openxmlformats-officedocument.presentationml.slide
Microsoft Office - OOXML - Presentation (Slideshow),application/vnd.openxmlformats-officedocument.presentationml.slideshow,.ppsx,IANA: OOXML - Presentation,http://www.iana.org/assignments/media-types/application/vnd.openxmlformats-officedocument.presentationml.slideshow
Microsoft Office - OOXML - Presentation Template,application/vnd.openxmlformats-officedocument.presentationml.template,.potx,IANA: OOXML - Presentation Template,http://www.iana.org/assignments/media-types/application/vnd.openxmlformats-officedocument.presentationml.template
Microsoft Office - OOXML - Spreadsheet,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,.xlsx,IANA: OOXML - Spreadsheet,http://www.iana.org/assignments/media-types/application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
Microsoft Office - OOXML - Spreadsheet Template,application/vnd.openxmlformats-officedocument.spreadsheetml.template,.xltx,IANA: OOXML - Spreadsheet Template,http://www.iana.org/assignments/media-types/application/vnd.openxmlformats-officedocument.spreadsheetml.template
Microsoft Office - OOXML - Word Document,application/vnd.openxmlformats-officedocument.wordprocessingml.document,.docx,IANA: OOXML - Word Document,http://www.iana.org/assignments/media-types/application/vnd.openxmlformats-officedocument.wordprocessingml.document
Microsoft Office - OOXML - Word Document Template,application/vnd.openxmlformats-officedocument.wordprocessingml.template,.dotx,IANA: OOXML - Word Document Template,http://www.iana.org/assignments/media-types/application/vnd.openxmlformats-officedocument.wordprocessingml.template
MapGuide DBXML,application/vnd.osgeo.mapguide.package,.mgp,IANA: MapGuide DBXML,http://www.iana.org/assignments/media-types/application/vnd.osgeo.mapguide.package
OSGi Deployment Package,application/vnd.osgi.dp,.dp,IANA: OSGi Deployment Package,http://www.iana.org/assignments/media-types/application/vnd.osgi.dp
PalmOS Data,application/vnd.palm,.pdb,IANA: PalmOS Data,http://www.iana.org/assignments/media-types/application/vnd.palm
PawaaFILE,application/vnd.pawaafile,.paw,IANA: PawaaFILE,http://www.iana.org/assignments/media-types/application/vnd.pawaafile
Proprietary P&G Standard Reporting System,application/vnd.pg.format,.str,IANA: Proprietary P&G Standard Reporting System,http://www.iana.org/assignments/media-types/application/vnd.pg.format
Proprietary P&G Standard Reporting System,application/vnd.pg.osasli,.ei6,IANA: Proprietary P&G Standard Reporting System,http://www.iana.org/assignments/media-types/application/vnd.pg.osasli
Pcsel eFIF File,application/vnd.picsel,.efif,IANA: Picsel eFIF File,http://www.iana.org/assignments/media-types/application/vnd.picsel
Qualcomm's Plaza Mobile Internet,application/vnd.pmi.widget,.wg,IANA: Qualcomm's Plaza Mobile Internet,http://www.iana.org/assignments/media-types/application/vnd.pmi.widget
PocketLearn Viewers,application/vnd.pocketlearn,.plf,IANA: PocketLearn Viewers,http://www.iana.org/assignments/media-types/application/vnd.pocketlearn
PowerBuilder,application/vnd.powerbuilder6,.pbd,IANA: PowerBuilder,http://www.iana.org/assignments/media-types/application/vnd.powerbuilder6
Preview Systems ZipLock/VBox,application/vnd.previewsystems.box,.box,IANA: Preview Systems ZipLock/Vbox,http://www.iana.org/assignments/media-types/application/vnd.previewsystems.box
EFI Proteus,application/vnd.proteus.magazine,.mgz,IANA: EFI Proteus,http://www.iana.org/assignments/media-types/application/vnd.proteus.magazine
PubliShare Objects,application/vnd.publishare-delta-tree,.qps,IANA: PubliShare Objects,http://www.iana.org/assignments/media-types/application/vnd.publishare-delta-tree
Princeton Video Image,application/vnd.pvi.ptid1,.ptid,IANA: Princeton Video Image,http://www.iana.org/assignments/media-types/application/vnd.pvi.ptid1
QuarkXpress,application/vnd.quark.quarkxpress,.qxd,IANA: QuarkXPress,http://www.iana.org/assignments/media-types/application/vnd.Quark.QuarkXPress
RealVNC,application/vnd.realvnc.bed,.bed,IANA: RealVNC,http://www.iana.org/assignments/media-types/application/vnd.realvnc.bed
Recordare Applications,application/vnd.recordare.musicxml,.mxl,IANA: Recordare Apps,http://www.iana.org/assignments/media-types/application/vnd.recordare.musicxml
Recordare Applications,application/vnd.recordare.musicxml+xml,.musicxml,IANA: Recordare Apps,http://www.iana.org/assignments/media-types/application/vnd.recordare.musicxml+xml
CryptoNote,application/vnd.rig.cryptonote,.cryptonote,IANA: CryptoNote,http://www.iana.org/assignments/media-types/application/vnd.rig.cryptonote
Blackberry COD File,application/vnd.rim.cod,.cod,,https://www.freeformatter.com/mime-types-list.html
RealMedia,application/vnd.rn-realmedia,.rm,,https://www.freeformatter.com/mime-types-list.html
ROUTE 66 Location Based Services,application/vnd.route66.link66+xml,.link66,IANA: ROUTE 66,http://www.iana.org/assignments/media-types/application/vnd.route66.link66+xml
SailingTracker,application/vnd.sailingtracker.track,.st,IANA: SailingTracker,http://www.iana.org/assignments/media-types/application/vnd.sailingtracker.track
SeeMail,application/vnd.seemail,.see,IANA: SeeMail,http://www.iana.org/assignments/media-types/application/vnd.seemail
Secured eMail,application/vnd.sema,.sema,IANA: Secured eMail,http://www.iana.org/assignments/media-types/application/vnd.sema
Secured eMail,application/vnd.semd,.semd,IANA: Secured eMail,http://www.iana.org/assignments/media-types/application/vnd.semd
Secured eMail,application/vnd.semf,.semf,IANA: Secured eMail,http://www.iana.org/assignments/media-types/application/vnd.semf
Shana Informed Filler,application/vnd.shana.informed.formdata,.ifm,IANA: Shana Informed Filler,http://www.iana.org/assignments/media-types/application/vnd.shana.informed.formdata
Shana Informed Filler,application/vnd.shana.informed.formtemplate,.itp,IANA: Shana Informed Filler,http://www.iana.org/assignments/media-types/application/vnd.shana.informed.formtemplate
Shana Informed Filler,application/vnd.shana.informed.interchange,.iif,IANA: Shana Informed Filler,http://www.iana.org/assignments/media-types/application/vnd.shana.informed.interchange
Shana Informed Filler,application/vnd.shana.informed.package,.ipk,IANA: Shana Informed Filler,http://www.iana.org/assignments/media-types/application/vnd.shana.informed.package
SimTech MindMapper,application/vnd.simtech-mindmapper,.twd,IANA: SimTech MindMapper,http://www.iana.org/assignments/media-types/application/vnd.SimTech-MindMapper
SMAF File,application/vnd.smaf,.mmf,IANA: SMAF File,http://www.iana.org/assignments/media-types/application/vnd.smaf
SMART Technologies Apps,application/vnd.smart.teacher,.teacher,IANA: SMART Technologies Apps,http://www.iana.org/assignments/media-types/application/vnd.smart.teacher
SudokuMagic,application/vnd.solent.sdkm+xml,.sdkm,IANA: SudokuMagic,http://www.iana.org/assignments/media-types/application/vnd.solent.sdkm+xml
TIBCO Spotfire,application/vnd.spotfire.dxp,.dxp,IANA: TIBCO Spotfire,http://www.iana.org/assignments/media-types/application/vnd.spotfire.dxp
TIBCO Spotfire,application/vnd.spotfire.sfs,.sfs,IANA: TIBCO Spotfire,http://www.iana.org/assignments/media-types/application/vnd.spotfire.sfs
StarOffice - Calc,application/vnd.stardivision.calc,.sdc,,https://www.freeformatter.com/mime-types-list.html
StarOffice - Draw,application/vnd.stardivision.draw,.sda,,https://www.freeformatter.com/mime-types-list.html
StarOffice - Impress,application/vnd.stardivision.impress,.sdd,,https://www.freeformatter.com/mime-types-list.html
StarOffice - Math,application/vnd.stardivision.math,.smf,,https://www.freeformatter.com/mime-types-list.html
StarOffice - Writer,application/vnd.stardivision.writer,.sdw,,https://www.freeformatter.com/mime-types-list.html
StarOffice - Writer  (Global),application/vnd.stardivision.writer-global,.sgl,,https://www.freeformatter.com/mime-types-list.html
StepMania,application/vnd.stepmania.stepchart,.sm,IANA: StepMania,http://www.iana.org/assignments/media-types/application/vnd.stepmania.stepchart
OpenOffice - Calc (Spreadsheet),application/vnd.sun.xml.calc,.sxc,Wikipedia: OpenOffice,https://en.wikipedia.org/wiki/OpenOffice.org_XML
OpenOffice - Calc Template (Spreadsheet),application/vnd.sun.xml.calc.template,.stc,Wikipedia: OpenOffice,https://en.wikipedia.org/wiki/OpenOffice.org_XML
OpenOffice - Draw (Graphics),application/vnd.sun.xml.draw,.sxd,Wikipedia: OpenOffice,https://en.wikipedia.org/wiki/OpenOffice.org_XML
OpenOffice - Draw Template (Graphics),application/vnd.sun.xml.draw.template,.std,Wikipedia: OpenOffice,https://en.wikipedia.org/wiki/OpenOffice.org_XML
OpenOffice - Impress (Presentation),application/vnd.sun.xml.impress,.sxi,Wikipedia: OpenOffice,https://en.wikipedia.org/wiki/OpenOffice.org_XML
OpenOffice - Impress Template (Presentation),application/vnd.sun.xml.impress.template,.sti,Wikipedia: OpenOffice,https://en.wikipedia.org/wiki/OpenOffice.org_XML
OpenOffice - Math (Formula),application/vnd.sun.xml.math,.sxm,Wikipedia: OpenOffice,https://en.wikipedia.org/wiki/OpenOffice.org_XML
OpenOffice - Writer (Text - HTML),application/vnd.sun.xml.writer,.sxw,Wikipedia: OpenOffice,https://en.wikipedia.org/wiki/OpenOffice.org_XML
OpenOffice - Writer (Text - HTML),application/vnd.sun.xml.writer.global,.sxg,Wikipedia: OpenOffice,https://en.wikipedia.org/wiki/OpenOffice.org_XML
OpenOffice - Writer Template (Text - HTML),application/vnd.sun.xml.writer.template,.stw,Wikipedia: OpenOffice,https://en.wikipedia.org/wiki/OpenOffice.org_XML
ScheduleUs,application/vnd.sus-calendar,.sus,IANA: ScheduleUs,http://www.iana.org/assignments/media-types/application/vnd.sus-calendar
SourceView Document,application/vnd.svd,.svd,IANA: SourceView Document,http://www.iana.org/assignments/media-types/application/vnd.svd
Symbian Install Package,application/vnd.symbian.install,.sis,IANA: Symbian Install,http://www.iana.org/assignments/media-types/application/vnd.nokia.n-gage.symbian.install
SyncML,application/vnd.syncml+xml,.xsm,IANA: SyncML,http://www.iana.org/assignments/media-types/application/vnd.syncml+xml
SyncML - Device Management,application/vnd.syncml.dm+wbxml,.bdm,IANA: SyncML,http://www.iana.org/assignments/media-types/application/vnd.syncml.dm+wbxml
SyncML - Device Management,application/vnd.syncml.dm+xml,.xdm,IANA: SyncML,http://www.iana.org/assignments/media-types/application/vnd.syncml.dm+xml
Tao Intent,application/vnd.tao.intent-module-archive,.tao,IANA: Tao Intent,http://www.iana.org/assignments/media-types/application/vnd.tao.intent-module-archive
MobileTV,application/vnd.tmobile-livetv,.tmo,IANA: MobileTV,http://www.iana.org/assignments/media-types/application/vnd.tmobile-livetv
TRI Systems Config,application/vnd.trid.tpt,.tpt,IANA: TRI Systems,http://www.iana.org/assignments/media-types/application/vnd.trid.tpt
Triscape Map Explorer,application/vnd.triscape.mxs,.mxs,IANA: Triscape Map Explorer,http://www.iana.org/assignments/media-types/application/vnd.triscape.mxs
True BASIC,application/vnd.trueapp,.tra,IANA: True BASIC,http://www.iana.org/assignments/media-types/application/vnd.trueapp
Universal Forms Description Language,application/vnd.ufdl,.ufd,IANA: Universal Forms Description Language,http://www.iana.org/assignments/media-types/application/vnd.ufdl
User Interface Quartz - Theme (Symbian),application/vnd.uiq.theme,.utz,IANA: User Interface Quartz,http://www.iana.org/assignments/media-types/application/vnd.uiq.theme
UMAJIN,application/vnd.umajin,.umj,IANA: UMAJIN,http://www.iana.org/assignments/media-types/application/vnd.umajin
Unity 3d,application/vnd.unity,.unityweb,IANA: Unity 3d,http://www.iana.org/assignments/media-types/application/vnd.unity
Unique Object Markup Language,application/vnd.uoml+xml,.uoml,IANA: UOML,http://www.iana.org/assignments/media-types/application/vnd.uoml+xml
VirtualCatalog,application/vnd.vcx,.vcx,IANA: VirtualCatalog,http://www.iana.org/assignments/media-types/application/vnd.vcx
Microsoft Visio,application/vnd.visio,.vsd,IANA: Visio,http://www.iana.org/assignments/media-types/application/vnd.visio
Microsoft Visio 2013,application/vnd.visio2013,.vsdx,IANA: Visio,http://www.iana.org/assignments/media-types/application/vnd.visio
Visionary,application/vnd.visionary,.vis,IANA: Visionary,http://www.iana.org/assignments/media-types/application/vnd.visionary
Viewport+,application/vnd.vsf,.vsf,IANA: Viewport+,http://www.iana.org/assignments/media-types/application/vnd.vsf
WAP Binary XML (WBXML),application/vnd.wap.wbxml,.wbxml,IANA: WBXML,http://www.iana.org/assignments/media-types/application/vnd.wap-wbxml
Compiled Wireless Markup Language (WMLC),application/vnd.wap.wmlc,.wmlc,IANA: WMLC,http://www.iana.org/assignments/media-types/application/vnd-wap-wmlc
WMLScript,application/vnd.wap.wmlscriptc,.wmlsc,IANA: WMLScript,http://www.iana.org/assignments/media-types/application/vnd.wap.wmlscriptc
WebTurbo,application/vnd.webturbo,.wtb,IANA: WebTurbo,http://www.iana.org/assignments/media-types/application/vnd.webturbo
Mathematica Notebook Player,application/vnd.wolfram.player,.nbp,IANA: Mathematica Notebook Player,http://www.iana.org/assignments/media-types/application/vnd.wolfram.player
Wordperfect,application/vnd.wordperfect,.wpd,IANA: Wordperfect,http://www.iana.org/assignments/media-types/application/vnd.wordperfect
SundaHus WQ,application/vnd.wqd,.wqd,IANA: SundaHus WQ,http://www.iana.org/assignments/media-types/application/vnd.wqd
Worldtalk,application/vnd.wt.stf,.stf,IANA: Worldtalk,http://www.iana.org/assignments/media-types/application/vnd.wt.stf
CorelXARA,application/vnd.xara,.xar,IANA: CorelXARA,http://www.iana.org/assignments/media-types/application/vnd.xara
Extensible Forms Description Language,application/vnd.xfdl,.xfdl,IANA: Extensible Forms Description Language,http://www.iana.org/assignments/media-types/application/vnd.xfdl
HV Voice Dictionary,application/vnd.yamaha.hv-dic,.hvd,IANA: HV Voice Dictionary,http://www.iana.org/assignments/media-types/application/vnd.yamaha.hv-dic
HV Script,application/vnd.yamaha.hv-script,.hvs,IANA: HV Script,http://www.iana.org/assignments/media-types/application/vnd.yamaha.hv-script
HV Voice Parameter,application/vnd.yamaha.hv-voice,.hvp,IANA: HV Voice Parameter,http://www.iana.org/assignments/media-types/application/vnd.yamaha.hv-voice
Open Score Format,application/vnd.yamaha.openscoreformat,.osf,IANA: Open Score Format,http://www.iana.org/assignments/media-types/application/vnd.yamaha.openscoreformat
OSFPVG,application/vnd.yamaha.openscoreformat.osfpvg+xml,.osfpvg,IANA: OSFPVG,http://www.iana.org/assignments/media-types/application/vnd.yamaha.openscoreformat.osfpvg+xml
SMAF Audio,application/vnd.yamaha.smaf-audio,.saf,IANA: SMAF Audio,http://www.iana.org/assignments/media-types/application/vnd.yamaha.smaf-audio
SMAF Phrase,application/vnd.yamaha.smaf-phrase,.spf,IANA: SMAF Phrase,http://www.iana.org/assignments/media-types/application/vnd.yamaha.smaf-phrase
CustomMenu,application/vnd.yellowriver-custom-menu,.cmp,IANA: CustomMenu,http://www.iana.org/assignments/media-types/application/vnd.yellowriver-custom-menu
Z.U.L. Geometry,application/vnd.zul,.zir,IANA: Z.U.L.,http://www.iana.org/assignments/media-types/application/vnd.zul
Zzazz Deck,application/vnd.zzazz.deck+xml,.zaz,IANA: Zzazz,http://www.iana.org/assignments/media-types/application/vnd.zzazz.deck+xml
VoiceXML,application/voicexml+xml,.vxml,RFC 4267,http://tools.ietf.org/html/rfc4267
Widget Packaging and XML Configuration,application/widget,.wgt,W3C Widget Packaging and XML Configuration,http://www.w3.org/TR/widgets/#media-type-registration-for-applicationw
WinHelp,application/winhlp,.hlp,Wikipedia: WinHelp,https://en.wikipedia.org/wiki/WinHelp
WSDL - Web Services Description Language,application/wsdl+xml,.wsdl,W3C Web Service Description Language,http://www.iana.org/assignments/media-types/application/wsdl+xml
Web Services Policy,application/wspolicy+xml,.wspolicy,W3C Web Services Policy,http://www.w3.org/Submission/WS-Policy/
7-Zip,application/x-7z-compressed,.7z,Wikipedia: 7-Zip,https://en.wikipedia.org/wiki/7-Zip
AbiWord,application/x-abiword,.abw,Wikipedia: AbiWord,https://en.wikipedia.org/wiki/AbiWord
Ace Archive,application/x-ace-compressed,.ace,Wikipedia: ACE,https://en.wikipedia.org/wiki/ACE_%28file_format%29
Adobe (Macropedia) Authorware - Binary File,application/x-authorware-bin,.aab,Wikipedia: Authorware,https://en.wikipedia.org/wiki/Macromedia_Authorware
Adobe (Macropedia) Authorware - Map,application/x-authorware-map,.aam,Wikipedia: Authorware,https://en.wikipedia.org/wiki/Macromedia_Authorware
Adobe (Macropedia) Authorware - Segment File,application/x-authorware-seg,.aas,Wikipedia: Authorware,https://en.wikipedia.org/wiki/Macromedia_Authorware
Binary CPIO Archive,application/x-bcpio,.bcpio,Wikipedia: cpio,https://en.wikipedia.org/wiki/Cpio
BitTorrent,application/x-bittorrent,.torrent,Wikipedia: BitTorrent,https://en.wikipedia.org/wiki/BitTorrent_%28protocol%29
Bzip Archive,application/x-bzip,.bz,Wikipedia: Bzip,https://en.wikipedia.org/wiki/Bzip
Bzip2 Archive,application/x-bzip2,.bz2,Wikipedia: Bzip,https://en.wikipedia.org/wiki/Bzip
Video CD,application/x-cdlink,.vcd,Wikipedia: Video CD,https://en.wikipedia.org/wiki/Video_CD
pIRCh,application/x-chat,.chat,Wikipedia: pIRCh,https://en.wikipedia.org/wiki/PIRCH
Portable Game Notation (Chess Games),application/x-chess-pgn,.pgn,Wikipedia: Portable Game Notationb,https://en.wikipedia.org/wiki/Portable_Game_Notation
CPIO Archive,application/x-cpio,.cpio,Wikipedia: cpio,https://en.wikipedia.org/wiki/Cpio
C Shell Script,application/x-csh,.csh,Wikipedia: C Shell,https://en.wikipedia.org/wiki/C_shell
Debian Package,application/x-debian-package,.deb,Wikipedia: Debian Package,https://en.wikipedia.org/wiki/Debian_package
Adobe Shockwave Player,application/x-director,.dir,Wikipedia: Adobe Shockwave Player,https://en.wikipedia.org/wiki/Adobe_Shockwave_Player
Doom Video Game,application/x-doom,.wad,Wikipedia: Doom WAD,https://en.wikipedia.org/wiki/Doom_wad
Navigation Control file for XML (for ePub),application/x-dtbncx+xml,.ncx,Wikipedia: EPUB,https://en.wikipedia.org/wiki/EPUB
Digital Talking Book,application/x-dtbook+xml,.dtb,Wikipedia: EPUB,https://en.wikipedia.org/wiki/EPUB
Digital Talking Book - Resource File,application/x-dtbresource+xml,.res,Digital Talking Book,http://www.daisy.org/z3986/2005/Z3986-2005.html
Device Independent File Format (DVI),application/x-dvi,.dvi,Wikipedia: DVI,https://en.wikipedia.org/wiki/Device_independent_file_format
Glyph Bitmap Distribution Format,application/x-font-bdf,.bdf,Wikipedia: Glyph Bitmap Distribution Format,https://en.wikipedia.org/wiki/Glyph_Bitmap_Distribution_Format
Ghostscript Font,application/x-font-ghostscript,.gsf,Wikipedia: Ghostscript,https://en.wikipedia.org/wiki/Ghostscript
PSF Fonts,application/x-font-linux-psf,.psf,PSF Fonts,http://www.win.tue.nl/~aeb/linux/kbd/font-formats-1.html
OpenType Font File,application/x-font-otf,.otf,OpenType Font File,http://www.microsoft.com/typography/otspec/otff.htm
Portable Compiled Format,application/x-font-pcf,.pcf,Wikipedia: Portable Compiled Format,https://en.wikipedia.org/wiki/Portable_Compiled_Format
Server Normal Format,application/x-font-snf,.snf,Wikipedia: Server Normal Format,https://en.wikipedia.org/wiki/Server_Normal_Format
TrueType Font,application/x-font-ttf,.ttf,Wikipedia: TrueType,https://en.wikipedia.org/wiki/TrueType
PostScript Fonts,application/x-font-type1,.pfa,Wikipedia: PostScript Fonts,https://en.wikipedia.org/wiki/PostScript_fonts
Web Open Font Format,application/x-font-woff,.woff,Wikipedia: Web Open Font Format,https://en.wikipedia.org/wiki/Woff
FutureSplash Animator,application/x-futuresplash,.spl,Wikipedia: FutureSplash Animator,https://en.wikipedia.org/wiki/FutureSplash_Animator
Gnumeric,application/x-gnumeric,.gnumeric,Wikipedia: Gnumeric,https://en.wikipedia.org/wiki/Gnumeric
GNU Tar Files,application/x-gtar,.gtar,GNU Tar,http://www.gnu.org/software/tar/
Hierarchical Data Format,application/x-hdf,.hdf,Wikipedia: Hierarchical Data Format,https://en.wikipedia.org/wiki/Hierarchical_Data_Format
Java Network Launching Protocol,application/x-java-jnlp-file,.jnlp,Wikipedia: Java Web Start,https://en.wikipedia.org/wiki/Java_Web_Start
LaTeX,application/x-latex,.latex,Wikipedia: LaTeX,https://en.wikipedia.org/wiki/LaTeX
Mobipocket,application/x-mobipocket-ebook,.prc,Wikipedia: Mobipocket,https://en.wikipedia.org/wiki/Mobipocket
Microsoft ClickOnce,application/x-ms-application,.application,Wikipedia: ClickOnce,https://en.wikipedia.org/wiki/ClickOnce
Microsoft Windows Media Player Download Package,application/x-ms-wmd,.wmd,Wikipedia: Windows Media Player,https://en.wikipedia.org/wiki/Windows_Media_Player
Microsoft Windows Media Player Skin Package,application/x-ms-wmz,.wmz,Wikipedia: Windows Media Player,https://en.wikipedia.org/wiki/Windows_Media_Player
Microsoft XAML Browser Application,application/x-ms-xbap,.xbap,Wikipedia: XAML Browser,https://en.wikipedia.org/wiki/XAML_Browser_Applications
